timestamp,participant_id,gesture,landmarks
20250401_122755_607368,1,left,"[[0.536760151386261, 0.5256261825561523, -0.661740779876709], [0.5443452000617981, 0.4977331757545471, -0.6158825159072876], [0.5493561029434204, 0.49678274989128113, -0.6159806251525879], [0.5547896027565002, 0.49571532011032104, -0.6159297227859497], [0.5213583111763, 0.49912792444229126, -0.6295486092567444], [0.5122750401496887, 0.4999241828918457, -0.6295784711837769], [0.5044016242027283, 0.5014048218727112, -0.6297697424888611], [0.5612315535545349, 0.5082062482833862, -0.3520750403404236], [0.49675846099853516, 0.5149056911468506, -0.4056999683380127], [0.5470951795578003, 0.5532339811325073, -0.5640280246734619], [0.5204329490661621, 0.5545732975006104, -0.5797972083091736], [0.6350981593132019, 0.6675790548324585, -0.16376417875289917], [0.44358086585998535, 0.6785080432891846, -0.3094603717327118], [0.7666040658950806, 0.7117613554000854, -0.050071436911821365], [0.3990989625453949, 0.9002465605735779, -0.45346131920814514], [0.9179854393005371, 0.9328382611274719, -0.11834011971950531], [0.3837050795555115, 1.0496420860290527, -0.7359355688095093], [0.9629014730453491, 0.7970527410507202, -0.1278744637966156], [0.3646378815174103, 1.1127911806106567, -0.7744454741477966], [0.9659149050712585, 0.7729771733283997, -0.1957331746816635], [0.37943655252456665, 1.1038856506347656, -0.8437936902046204], [0.9483206868171692, 0.7908883690834045, -0.15132959187030792], [0.3873993754386902, 1.085878849029541, -0.7687719464302063], [0.6039954423904419, 1.0844322443008423, -0.029511744156479836], [0.4656720757484436, 1.0789545774459839, 0.03074740804731846], [0.5923238396644592, 1.3839282989501953, -0.05237952992320061], [0.46689581871032715, 1.3823150396347046, -0.008088929578661919], [0.5853257179260254, 1.659704566001892, 0.22458355128765106], [0.4554997980594635, 1.6569761037826538, 0.16909870505332947], [0.5896047353744507, 1.698457956314087, 0.2316918671131134], [0.4525819420814514, 1.6957173347473145, 0.17951621115207672], [0.5662795305252075, 1.7460038661956787, -0.05629906803369522], [0.4701419770717621, 1.7432657480239868, -0.12475067377090454]]"
20250401_122852_951113,1,stop,"[[0.5354076027870178, 0.5195717811584473, -0.42299884557724], [0.5475525856018066, 0.49462735652923584, -0.3969334661960602], [0.554614782333374, 0.4947725534439087, -0.39715704321861267], [0.561188817024231, 0.49465376138687134, -0.3972204327583313], [0.523879885673523, 0.4936765432357788, -0.3886198401451111], [0.515312671661377, 0.49397847056388855, -0.38865160942077637], [0.5074528455734253, 0.494810551404953, -0.3890109658241272], [0.5708675384521484, 0.5081177949905396, -0.21039748191833496], [0.49954336881637573, 0.5075495839118958, -0.17247168719768524], [0.5486212968826294, 0.5494041442871094, -0.35605189204216003], [0.520185112953186, 0.5488821268081665, -0.3454565703868866], [0.6351898908615112, 0.669847846031189, -0.1601429283618927], [0.4417077600955963, 0.6511141657829285, -0.042759403586387634], [0.6756887435913086, 0.8713679909706116, -0.12276558578014374], [0.32166585326194763, 0.7271350622177124, 0.015781892463564873], [0.702154278755188, 1.0546748638153076, -0.29500612616539], [0.17560578882694244, 0.7008028626441956, -0.10141585022211075], [0.713194727897644, 1.1134529113769531, -0.3289121389389038], [0.12976554036140442, 0.6881683468818665, -0.1287558376789093], [0.7214682102203369, 1.110713243484497, -0.38599586486816406], [0.13234762847423553, 0.6747221350669861, -0.18462255597114563], [0.7084819078445435, 1.0914613008499146, -0.32667577266693115], [0.1481560319662094, 0.6813603043556213, -0.13489852845668793], [0.6074903011322021, 1.0707069635391235, -0.0400666743516922], [0.473905473947525, 1.0722216367721558, 0.04042762517929077], [0.6024332046508789, 1.3595777750015259, -0.04831720143556595], [0.4758632779121399, 1.369383692741394, 0.15559785068035126], [0.6129919290542603, 1.6364004611968994, 0.29036790132522583], [0.4819405972957611, 1.6474217176437378, 0.4453582167625427], [0.6177594661712646, 1.673238754272461, 0.3108542859554291], [0.48129892349243164, 1.68582284450531, 0.46605053544044495], [0.5925832390785217, 1.7183983325958252, 0.043429721146821976], [0.4888632893562317, 1.7221271991729736, 0.1823754906654358]]"
20250401_122931_045691,1,stop,"[[0.5323505401611328, 0.5141138434410095, -0.3918972611427307], [0.546697735786438, 0.4904095530509949, -0.36623114347457886], [0.5547492504119873, 0.49183332920074463, -0.36647218465805054], [0.561665415763855, 0.49306783080101013, -0.36653169989585876], [0.5226888656616211, 0.48836076259613037, -0.35780107975006104], [0.5146246552467346, 0.48888319730758667, -0.35785236954689026], [0.5072934627532959, 0.4896606206893921, -0.35822227597236633], [0.5730763077735901, 0.5087703466415405, -0.18547390401363373], [0.5003008842468262, 0.5027064085006714, -0.14637140929698944], [0.5478233098983765, 0.5455159544944763, -0.32663434743881226], [0.517676055431366, 0.5442156195640564, -0.31595078110694885], [0.6344989538192749, 0.6773868203163147, -0.15605583786964417], [0.43768730759620667, 0.6471290588378906, -0.01642097905278206], [0.6690065264701843, 0.8935884833335876, -0.15373757481575012], [0.3035427927970886, 0.7043598294258118, 0.015342469327151775], [0.6902985572814941, 1.067713975906372, -0.3392421007156372], [0.1517132818698883, 0.6931151747703552, -0.136720210313797], [0.7020281553268433, 1.1307896375656128, -0.3778025507926941], [0.10294850170612335, 0.6847274899482727, -0.17019084095954895], [0.7047087550163269, 1.1348847150802612, -0.42685431241989136], [0.10437828302383423, 0.6744075417518616, -0.22888052463531494], [0.692087709903717, 1.1146577596664429, -0.36904439330101013], [0.12311442941427231, 0.681048572063446, -0.17304080724716187], [0.6177838444709778, 1.0703929662704468, -0.05088045075535774], [0.4870969355106354, 1.0759323835372925, 0.051229290664196014], [0.6166247725486755, 1.3597428798675537, -0.060774944722652435], [0.4882481098175049, 1.371705412864685, 0.1692405343055725], [0.6333225965499878, 1.6377772092819214, 0.24195131659507751], [0.5020548701286316, 1.6538422107696533, 0.42044368386268616], [0.639553427696228, 1.676282286643982, 0.2590293288230896], [0.5026618838310242, 1.6935372352600098, 0.43673253059387207], [0.6114813089370728, 1.7158950567245483, -0.0031356303952634335], [0.5078436136245728, 1.7241240739822388, 0.16609671711921692]]"
20250401_123007_271991,1,stop,"[[0.4321971833705902, 0.527014434337616, -0.3858877420425415], [0.4440670907497406, 0.5049019455909729, -0.35304179787635803], [0.4502083361148834, 0.5054129958152771, -0.35324615240097046], [0.4559081494808197, 0.5060639977455139, -0.3532988429069519], [0.4262915253639221, 0.5048632025718689, -0.3514854907989502], [0.4204794764518738, 0.5051366686820984, -0.3514602482318878], [0.41481685638427734, 0.5058492422103882, -0.3515813648700714], [0.467907190322876, 0.5208631753921509, -0.1565636247396469], [0.41176295280456543, 0.5182641744613647, -0.1494041085243225], [0.44219326972961426, 0.551744282245636, -0.3133541941642761], [0.423095166683197, 0.5515672564506531, -0.3114592730998993], [0.5019944906234741, 0.6484361290931702, -0.061262346804142], [0.36079543828964233, 0.6500539779663086, -0.024502916261553764], [0.5897284746170044, 0.6744759678840637, -0.12957902252674103], [0.3053800165653229, 0.814670741558075, 0.008293826133012772], [0.6864172220230103, 0.6936376690864563, -0.42115044593811035], [0.33800792694091797, 0.9061813354492188, -0.12307398021221161], [0.7129465937614441, 0.6911655068397522, -0.494267076253891], [0.33935314416885376, 0.9425374865531921, -0.15643291175365448], [0.7130614519119263, 0.6900520324707031, -0.5464462041854858], [0.3516395390033722, 0.9335060119628906, -0.20782825350761414], [0.7005055546760559, 0.6930778622627258, -0.45695558190345764], [0.35306453704833984, 0.9225978851318359, -0.14836958050727844], [0.4802863597869873, 1.0017290115356445, -0.0413665734231472], [0.4004996418952942, 0.996660590171814, 0.041888631880283356], [0.4719218313694, 1.2378143072128296, -0.1705956906080246], [0.39182254672050476, 1.2507705688476562, -0.010115495882928371], [0.49101710319519043, 1.5189062356948853, 0.005817416124045849], [0.407723993062973, 1.542884111404419, 0.04623790830373764], [0.49684375524520874, 1.5598613023757935, 0.010913563892245293], [0.41480502486228943, 1.5849494934082031, 0.03979219123721123], [0.4779673218727112, 1.5882790088653564, -0.20635981857776642], [0.3970024287700653, 1.6145668029785156, -0.1938774287700653]]"
20250401_123046_070737,1,right,"[[0.4486306309700012, 0.5309539437294006, -0.38508114218711853], [0.461085706949234, 0.5096848607063293, -0.3605731427669525], [0.46773749589920044, 0.5099337697029114, -0.3607153296470642], [0.47424641251564026, 0.5102816224098206, -0.36076876521110535], [0.44442859292030334, 0.5090357661247253, -0.35186704993247986], [0.43975067138671875, 0.508760392665863, -0.3519073724746704], [0.4350965917110443, 0.5086880922317505, -0.35197633504867554], [0.49020296335220337, 0.5236851572990417, -0.18749481439590454], [0.4380038380622864, 0.5200971364974976, -0.15331414341926575], [0.46159815788269043, 0.5533904433250427, -0.3212142586708069], [0.4411207139492035, 0.553105354309082, -0.3117058277130127], [0.537388026714325, 0.6524616479873657, -0.1334904283285141], [0.38613757491111755, 0.631832480430603, -0.024613553658127785], [0.5731208920478821, 0.7665734887123108, -0.16179071366786957], [0.305839478969574, 0.6453301310539246, -0.14951446652412415], [0.5588637590408325, 0.9323408007621765, -0.3489494323730469], [0.25007516145706177, 0.6093948483467102, -0.5362033247947693], [0.5665348172187805, 0.9802000522613525, -0.4052768349647522], [0.22821767628192902, 0.5983821153640747, -0.6017224788665771], [0.540638267993927, 0.967741847038269, -0.44159096479415894], [0.2331313192844391, 0.5907526612281799, -0.643645167350769], [0.5354507565498352, 0.9430209398269653, -0.36631685495376587], [0.23938074707984924, 0.5967909097671509, -0.5686138272285461], [0.5045718550682068, 0.9666845798492432, -0.04004950448870659], [0.4199374318122864, 0.959307849407196, 0.040234990417957306], [0.4783976078033447, 1.223031759262085, -0.1416836678981781], [0.39563965797424316, 1.213095784187317, -0.00446613784879446], [0.48684340715408325, 1.4963010549545288, 0.01128680445253849], [0.40096718072891235, 1.5080317258834839, 0.032806847244501114], [0.48847413063049316, 1.5330549478530884, 0.01577397622168064], [0.4054754674434662, 1.549988031387329, 0.026307683438062668], [0.47654372453689575, 1.5630818605422974, -0.2037283480167389], [0.39546114206314087, 1.566387414932251, -0.20423464477062225]]"
20250401_123209_978940,1,stop,"[[0.4623046815395355, 0.5558236837387085, -0.4087492823600769], [0.4720439016819, 0.5363816618919373, -0.41778287291526794], [0.47777754068374634, 0.5368934869766235, -0.4179317057132721], [0.4831973612308502, 0.5375645160675049, -0.4175181984901428], [0.45543527603149414, 0.5350418090820312, -0.3761124014854431], [0.4497757852077484, 0.5346949100494385, -0.3762853741645813], [0.44436126947402954, 0.5345538258552551, -0.37632259726524353], [0.4913305640220642, 0.547100305557251, -0.1868385374546051], [0.4392889142036438, 0.541920006275177, -0.16092845797538757], [0.4714706838130951, 0.5787016749382019, -0.37252670526504517], [0.45212751626968384, 0.5779557824134827, -0.3291979432106018], [0.5324609279632568, 0.6540337800979614, -0.09987404197454453], [0.3976922929286957, 0.6544378995895386, -0.0009152598795481026], [0.5995730757713318, 0.7524369955062866, -0.22366845607757568], [0.31247228384017944, 0.7468077540397644, 0.0426529198884964], [0.690030038356781, 0.6850982308387756, -0.5601043105125427], [0.234037846326828, 0.747302770614624, -0.09023664891719818], [0.71599280834198, 0.6662277579307556, -0.631574273109436], [0.20999209582805634, 0.7363540530204773, -0.1268223524093628], [0.7137617468833923, 0.6500882506370544, -0.6712180376052856], [0.21187248826026917, 0.695186197757721, -0.16306057572364807], [0.7050650119781494, 0.659050703048706, -0.5910590887069702], [0.2196992188692093, 0.6972989439964294, -0.11533069610595703], [0.5070398449897766, 0.9653910398483276, -0.03913060575723648], [0.4170898497104645, 0.9574995040893555, 0.03970919921994209], [0.49305224418640137, 1.2095284461975098, -0.09589041769504547], [0.39933258295059204, 1.2032268047332764, 0.002395670162513852], [0.49737730622291565, 1.431107997894287, 0.16262075304985046], [0.4064992070198059, 1.4332811832427979, 0.14425191283226013], [0.4998199939727783, 1.4608217477798462, 0.1761719286441803], [0.4097471237182617, 1.465861201286316, 0.14777188003063202], [0.484452486038208, 1.497511625289917, -0.038485728204250336], [0.41046828031539917, 1.5010452270507812, -0.09342672675848007]]"
20250401_123315_928696,1,right,"[[0.46425962448120117, 0.5568211078643799, -0.39223891496658325], [0.47402507066726685, 0.5410159230232239, -0.369282066822052], [0.479044109582901, 0.5419450998306274, -0.36943140625953674], [0.4842890799045563, 0.5430383086204529, -0.3694895803928375], [0.4577154517173767, 0.5396579504013062, -0.3655136227607727], [0.4518253803253174, 0.5394507050514221, -0.3655983507633209], [0.4464620053768158, 0.539236307144165, -0.3657299876213074], [0.49190646409988403, 0.5553203225135803, -0.20870573818683624], [0.44004926085472107, 0.5491024851799011, -0.19468016922473907], [0.47364234924316406, 0.5798152685165405, -0.33206722140312195], [0.453186571598053, 0.5780428647994995, -0.3285164535045624], [0.5351788401603699, 0.6775729656219482, -0.15537294745445251], [0.39321368932724, 0.6629347205162048, -0.05760608986020088], [0.5629943609237671, 0.8284591436386108, -0.15674906969070435], [0.3134516477584839, 0.7043821811676025, -0.07727691531181335], [0.5529029965400696, 0.9479718804359436, -0.34441953897476196], [0.21297197043895721, 0.7052239179611206, -0.38015612959861755], [0.5547584891319275, 0.9855548143386841, -0.39801454544067383], [0.1747315227985382, 0.7104875445365906, -0.4331459403038025], [0.5405718088150024, 0.9846028089523315, -0.4339049458503723], [0.17798788845539093, 0.7040380239486694, -0.4849684238433838], [0.536789059638977, 0.970942497253418, -0.36276867985725403], [0.19143417477607727, 0.7057574987411499, -0.41334009170532227], [0.5047146677970886, 0.969119131565094, -0.03401273488998413], [0.41425806283950806, 0.9691391587257385, 0.034324970096349716], [0.4988738000392914, 1.1787726879119873, 0.003942168317735195], [0.41107314825057983, 1.1745706796646118, 0.13054393231868744], [0.49717387557029724, 1.3593039512634277, 0.36966344714164734], [0.4146426320075989, 1.3657610416412354, 0.43598970770835876], [0.4990813136100769, 1.382886528968811, 0.3972957134246826], [0.41639938950538635, 1.3931323289871216, 0.4606281816959381], [0.487165629863739, 1.4208285808563232, 0.220335453748703], [0.4176546633243561, 1.4213114976882935, 0.2654406428337097]]"
20250401_123351_975276,1,right,"[[0.4723779261112213, 0.559266984462738, -0.35698002576828003], [0.48239701986312866, 0.5433105826377869, -0.33401453495025635], [0.48745235800743103, 0.5442962646484375, -0.3341171145439148], [0.4924868941307068, 0.5454859137535095, -0.3341389298439026], [0.4679586887359619, 0.5414679646492004, -0.32607507705688477], [0.46267732977867126, 0.5410693287849426, -0.32608482241630554], [0.45760059356689453, 0.5403901934623718, -0.3262143135070801], [0.5011686086654663, 0.5583567023277283, -0.17972181737422943], [0.4512194097042084, 0.5479516983032227, -0.14615485072135925], [0.4783344864845276, 0.5816975831985474, -0.30036142468452454], [0.46128034591674805, 0.5795066952705383, -0.29108119010925293], [0.5324046611785889, 0.6811810731887817, -0.15323927998542786], [0.3972013294696808, 0.6508427858352661, -0.0022088554687798023], [0.5664927959442139, 0.8314781188964844, -0.17187944054603577], [0.30644887685775757, 0.6532112956047058, -0.024286232888698578], [0.5501190423965454, 0.9471275806427002, -0.35655835270881653], [0.20784075558185577, 0.6259428858757019, -0.31556612253189087], [0.5487008690834045, 0.982598602771759, -0.414501816034317], [0.17503666877746582, 0.6198165416717529, -0.36736637353897095], [0.532490611076355, 0.9765095114707947, -0.4566612243652344], [0.17748239636421204, 0.6118958592414856, -0.4167046546936035], [0.5311617255210876, 0.9623812437057495, -0.3743606507778168], [0.18845298886299133, 0.6158120036125183, -0.348092645406723], [0.4960731863975525, 0.9670754671096802, -0.05531453341245651], [0.409368097782135, 0.9640990495681763, 0.05588258057832718], [0.4825175404548645, 1.1711987257003784, -0.056841570883989334], [0.40177446603775024, 1.1648918390274048, 0.1564534604549408], [0.4844070374965668, 1.3580098152160645, 0.21703580021858215], [0.4010158181190491, 1.3569186925888062, 0.4152158796787262], [0.4885815680027008, 1.3846347332000732, 0.23393797874450684], [0.40290722250938416, 1.3844611644744873, 0.43424171209335327], [0.46691903471946716, 1.4118469953536987, 0.042450200766325], [0.39405447244644165, 1.408415675163269, 0.23475007712841034]]"
20250401_123454_361162,1,left,"[[0.45277270674705505, 0.5621894001960754, -0.4576638638973236], [0.46177974343299866, 0.544388473033905, -0.4258875846862793], [0.467781126499176, 0.5446685552597046, -0.4259434640407562], [0.47301411628723145, 0.5451145172119141, -0.4259829521179199], [0.44458284974098206, 0.5443296432495117, -0.43660983443260193], [0.43886542320251465, 0.5446600317955017, -0.436634361743927], [0.4334307312965393, 0.5450124144554138, -0.4367474913597107], [0.47906213998794556, 0.5554505586624146, -0.24086765944957733], [0.42791062593460083, 0.5541867017745972, -0.29556113481521606], [0.4638966917991638, 0.5833860635757446, -0.3897378742694855], [0.4419618546962738, 0.5833894610404968, -0.40391984581947327], [0.5219919085502625, 0.664871096611023, -0.09340871870517731], [0.3826388418674469, 0.6743401288986206, -0.17151986062526703], [0.592943549156189, 0.6946598887443542, 0.021363090723752975], [0.3601287305355072, 0.8350772857666016, -0.1249433159828186], [0.7005308866500854, 0.6772311925888062, -0.03436027839779854], [0.36823350191116333, 0.9531158804893494, -0.04207570478320122], [0.7297013998031616, 0.6867597103118896, -0.046278826892375946], [0.36809706687927246, 0.9892757534980774, -0.039115212857723236], [0.7317004799842834, 0.6826220154762268, -0.09646634757518768], [0.3774741590023041, 0.985586404800415, -0.086147740483284], [0.7217134237289429, 0.6820058822631836, -0.059256333857774734], [0.37886911630630493, 0.9699761867523193, -0.05669163540005684], [0.49514254927635193, 0.9693445563316345, -0.006266201380640268], [0.4062640070915222, 0.9679266810417175, 0.0067862337455153465], [0.4893462061882019, 1.192273497581482, 0.009369965642690659], [0.3959961235523224, 1.1938313245773315, 0.0031472526025027037], [0.48582905530929565, 1.380226969718933, 0.31419891119003296], [0.4022928774356842, 1.3831744194030762, 0.24732434749603271], [0.48554977774620056, 1.405135989189148, 0.33179065585136414], [0.40391531586647034, 1.4073210954666138, 0.2638973295688629], [0.47701603174209595, 1.4483331441879272, 0.139488086104393], [0.41579216718673706, 1.452020287513733, 0.042974792420864105]]"
20250401_124107_237872,2,right,"[[0.42708367109298706, 0.5057839155197144, -0.24272532761096954], [0.4332636892795563, 0.49494773149490356, -0.22200730443000793], [0.43741363286972046, 0.4957004189491272, -0.22213920950889587], [0.4415023922920227, 0.4962468445301056, -0.2222280204296112], [0.4218812584877014, 0.49549925327301025, -0.21619494259357452], [0.41826683282852173, 0.49634239077568054, -0.2163073569536209], [0.4147804379463196, 0.4974212646484375, -0.21636834740638733], [0.45105352997779846, 0.5086162090301514, -0.09889625757932663], [0.41048353910446167, 0.5105857253074646, -0.07674829661846161], [0.43593940138816833, 0.5219790935516357, -0.19805558025836945], [0.4206560254096985, 0.5212898254394531, -0.1918214112520218], [0.4927383065223694, 0.6090803742408752, -0.04114697873592377], [0.38368070125579834, 0.5853551626205444, -0.017714450135827065], [0.5124757289886475, 0.7172901630401611, -0.0071000633761286736], [0.31124213337898254, 0.6101487278938293, -0.18314984440803528], [0.5299165844917297, 0.8120160698890686, -0.09943993389606476], [0.2687886953353882, 0.5312860012054443, -0.5114132165908813], [0.5363386273384094, 0.8420892357826233, -0.1235223039984703], [0.2537660598754883, 0.5060354471206665, -0.5718608498573303], [0.5324108600616455, 0.8430116772651672, -0.15945002436637878], [0.2570403218269348, 0.4968545138835907, -0.5908113121986389], [0.5272867679595947, 0.8325527310371399, -0.11429611593484879], [0.2631688714027405, 0.5063644647598267, -0.5312115550041199], [0.4649725556373596, 0.8502724170684814, 0.00014042573457118124], [0.39204323291778564, 0.8492177128791809, 7.067894330248237e-05], [0.4628797173500061, 0.9965404272079468, -0.07576791197061539], [0.39013615250587463, 1.0042420625686646, -0.023128436878323555], [0.4623505175113678, 1.1765965223312378, 0.1601341962814331], [0.3927864730358124, 1.1785526275634766, 0.24144968390464783], [0.4599228501319885, 1.1943469047546387, 0.17876973748207092], [0.3939269483089447, 1.195469617843628, 0.26426437497138977], [0.45930996537208557, 1.232514500617981, 0.056163035333156586], [0.3990088999271393, 1.228183388710022, 0.1333603411912918]]"
